
//==================================================================================================================	
// Event Time (format of hours: 24:00)
// Hours minutes
//==================================================================================================================	
0
	11	30
	23	30
end

//==================================================================================================================	
// Event raiding type
// raiding type probability
//==================================================================================================================	
1
	1	60	//General raiding
	2	40	//Special raiding (C group addition)
end

//==================================================================================================================	
// Monster groups settings
//Group number / Time of incoming of group (minutes)
//==================================================================================================================	
2
	//Group A Rading
	1	1	0
	1	2	10

	//Group C Rading
	2	1	0
	2	2	10
	2	3	20
end

//==================================================================================================================	
// Monsters Settings
// Group number / Monster number / Amount of monsters / X1 / Y1 / X2 / Y2
//==================================================================================================================	
3
1	1	39	10	60	28	132	73	//Poison Shadow
1	1	34	10	60	28	132	73	//Cursed Wizard
1	1	41	10	60	28	132	73	//Death Cow
1	1	37	10	60	28	132	73	//Devil
1	1	40	10	60	28	132	73	//Death Knight
1	1	35	10	60	28	132	73	//Death Gorgon
1	1	51	10	60	28	132	73	//Great Bahamut
1	1	52	10	60	28	132	73	//Silver Valkyrie
1	1	48	10	60	28	132	73	//Lizard King
1	1	62	10	60	28	132	73	//Mutant

1	2	69	10	60	58	132	101	//Alquamos
1	2	60	10	60	58	132	101	//Bloody Wolf
1	2	71	10	60	58	132	101	//Mega Crust
1	2	57	10	60	58	132	101	//Iron Wheel
1	2	70	10	60	58	132	101	//Queen Rainer
1	2	58	10	60	58	132	101	//Tantallos
1	2	61	10	60	58	132	101	//Beam Knight
1	2	73	10	60	58	132	101	//Drakan
1	2	74	10	60	58	132	101	//Alpha Crust
1	2	72	10	60	58	132	101	//Phantom Knight

2	1	39	10	60	28	132	73	//Poison Shadow
2	1	34	10	60	28	132	73	//Cursed Wizard
2	1	41	10	60	28	132	73	//Death Cow
2	1	37	10	60	28	132	73	//Devil
2	1	40	10	60	28	132	73	//Death Knight
2	1	35	10	60	28	132	73	//Death Gorgon
2	1	51	10	60	28	132	73	//Great Bahamut
2	1	52	10	60	28	132	73	//Silver Valkyrie
2	1	48	10	60	28	132	73	//Lizard King
2	1	62	10	60	28	132	73	//Mutant

2	2	294	10	60	58	132	101	//Axe Warrior
2	2	290	10	60	58	132	101	//Lizard Warrior
2	2	193	10	60	58	132	101	//Aegis
2	2	194	10	60	58	132	101	//Lord Centurion
2	2	192	10	60	58	132	101	//Bloody Soldier
2	2	190	10	60	58	132	101	//Death Angel
2	2	195	10	60	58	132	101	//Necron
2	2	61	10	60	58	132	101	//Beam Knight
2	2	73	10	60	58	132	101	//Drakan
2	2	127	10	60	58	132	101	//Elite Orc

2	3	49	10	60	58	132	101	//Hydra
2	3	139	10	60	58	132	101	//Orc Archer
2	3	123	10	60	58	132	101	//Spirit Knight
2	3	59	10	60	58	132	101	//Zaikan
2	3	74	10	60	58	132	101	//Alpha Crust
2	3	62	10	60	58	132	101	//Mutant
2	3	293	10	60	58	132	101	//Poison Golem
2	3	292	10	60	58	132	101	//Queen Bee
2	3	291	10	60	58	132	101	//Fire Golem
2	3	295	1	60	58	132	101	//Erohim
end
