//========================================================================//
// # Information: Leah.							# //
//========================================================================//

//============================================================================================================
//Item	Item	Item	Item	Is	Is	Is	Is	Is	Socket	Socket	Socket	Socket	Socket
//Type	Index	Level	Dur	Skill	Luck	Option	Exc	Ancinet	1	2	3	4	5
//============================================================================================================
7	39	3	0	0	1	1	0	0	255	255	255	255	255	//Violent Wind Helm
8	39	3	0	0	1	1	0	0	255	255	255	255	255	//Violent Wind Armor
9	39	3	0	0	1	1	0	0	255	255	255	255	255	//Violent Wind Pants
10	39	3	0	0	1	1	0	0	255	255	255	255	255	//Violent Wind Gloves
11	39	3	0	0	1	1	0	0	255	255	255	255	255	//Violent Wind Boots
7	40	3	0	0	1	1	0	0	255	255	255	255	255	//Red Wing Helm
8	40	3	0	0	1	1	0	0	255	255	255	255	255	//Red Wing Armor
9	40	3	0	0	1	1	0	0	255	255	255	255	255	//Red Wing Pants
10	40	3	0	0	1	1	0	0	255	255	255	255	255	//Red Wing Gloves
11	40	3	0	0	1	1	0	0	255	255	255	255	255	//Red Wing Boots
1	0	3	0	0	1	1	0	0	255	255	255	255	255	//Small Axe
0	1	3	0	0	1	1	0	0	255	255	255	255	255	//Short Sword
1	1	3	0	0	1	1	0	0	255	255	255	255	255	//Hand Axe
0	2	3	0	0	1	1	0	0	255	255	255	255	255	//Rapier
1	4	3	0	0	1	1	0	0	255	255	255	255	255	//Elven Axe
0	0	3	0	0	1	1	0	0	255	255	255	255	255	//Kris
5	0	3	0	0	1	1	0	0	255	255	255	255	255	//Skull Staff
5	14	3	0	0	1	1	0	0	255	255	255	255	255	//Mystery Stick
5	15	3	0	0	1	1	0	0	255	255	255	255	255	//Violent Wind Stick
5	16	3	0	0	1	1	0	0	255	255	255	255	255	//Red Wing Stick
end
