// 380 Item Level PVP Options
//0  Option null
//1  attack success rate rise
//2  attack additional damage +%d
//3  defense success rate rise
//4  defensive skill +%d
//5  The maximum HP rise
//6  The maximum SD rise
//7  SD automatic recovery
//8  SD recovery quantity increase
0

//==================================================================================================================						
//Type	Index Option 1 Value 1 Option 2	Value 2	Time
//==================================================================================================================
0	22	2	200	1	10	0
0	23	2	200	1	10	0
0	26	2	200	1	10	0
0	27	2	200	1	10	0
0	28	2	200	1	10	0
2	14	2	200	1	10	0
2	16	2	200	1	10	0
2	17	2	200	1	10	0
2	18	2	200	1	10	0
3	11	2	200	1	10	0
4	21	2	200	1	10	0
4	23	2	200	1	10	0
4	24	2	200	1	10	0
5	12	2	200	1	10	0
5	19	2	200	1	10	0
5	30	2	200	1	10	0
5	31	2	200	1	10	0
5	33	2	200	1	10	0
5	34	2	200	1	10	0
7	29	8	20	3	10	0
7	30	8	20	3	10	0
7	31	8	20	3	10	0
7	33	8	20	3	10	0
7	43	8	20	3	10	0
8	29	7	0	3	10	0
8	30	7	0	3	10	0
8	31	7	0	3	10	0
8	32	7	0	3	10	0
8	33	7	0	3	10	0
8	43	7	0	3	10	0
9	29	4	200	3	10	0
9	30	4	200	3	10	0
9	31	4	200	3	10	0
9	32	4	200	3	10	0
9	33	4	200	3	10	0
9	43	4	200	3	10	0
10	29	5	200	3	10	0
10	30	5	200	3	10	0
10	31	5	200	3	10	0
10	32	5	200	3	10	0
10	33	5	200	3	10	0
10	43	5	200	3	10	0
11	29	6	700	3	10	0
11	30	6	700	3	10	0
11	31	6	700	3	10	0
11	32	6	700	3	10	0
11	33	6	700	3	10	0
11	43	6	700	3	10	0
end
