//--------------------------------------------------------------------------------------------------//
// DevilSquare Lvl     Rank           Exp Reward        Points                                      //
//--------------------------------------------------------------------------------------------------//
0
	0		0		6000		30000
	0		1		4000		25000
	0		2		2000		20000
	0		3		1000		15000
	1		0		8000		40000
	1		1		6000		35000
	1		2		4000		30000
	1		3		2000		25000
	2		0		10000		50000
	2		1		8000		45000
	2		2		6000		40000
	2		3		4000		35000
	3		0		20000		60000
	3		1		10000		55000
	3		2		8000		50000
	3		3		6000		45000
	4		0		22000		70000
	4		1		20000		65000
	4		2		10000		60000
	4		3		8000		55000
	5		0		24000		80000
	5		1		22000		75000
	5		2		20000		70000
	5		3		10000		65000
	6		0		26000		150000
	6		1		24000		140000
	6		2		22000		120000
	6		3		20000		90000
end
